"Equipment_ID","Facility_Code","Type","Library_ID","Model","Manufacturer","Serial_Number","Power_Source","RefrigerAnt","CFC_Free","Gross_Refr_Volume","Net_Refr_Volume","Gross_Freezer_Volume","Net_Freezer_Volume","Year","Condition","Status","No_Monitor","Dial_Thermometer","Stem_Thermometer","Fridge_Tag","No_Spare_Parts","No_Finance","No_Fuel","Need_to_Board_Off","Days_Above_8","Days_Below_2"
"R-000868","04-62","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2006,"Working_well","In_use",,,,,,,,,,
"R-000899","04-78","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2006,"Working_well","In_use",,,,,,,,,,
"R-001382","06-95","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2006,"Not_working","Not_in_use",,,,,,,,,,
"R-000315","03-79","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2006,"Working_well","In_use",,,,,,,,,,
"R-000297","03-67","ILR","E362M","TCW_1990","DOMETIC",,"E","R134A","Yes",66,37.5,17,0,2006,"Working_well","In_use",,,,,,,,,,
"R-000997","05-31","CFEK","E373M","FCW_20_EK","DOMETIC",,"EK","NH3","Yes",0,0,18,14,2007,"Working_well","In_use",,,,,,,,,,
"R-000022","02-4","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-001169","05-120","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2003,"Not_working","Not_in_use",,,,,,,,,,
"R-001220","06-5","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2003,"Working_well","In_use",,,,,,,,,,
"R-001318","06-63","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2003,"Working_well","In_use",,,,,,,,,,
"R-000211","03-10","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Not_working","Not_in_use",,,,,,,,,,
"R-000041","02-19","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
"R-000128","02-60","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2007,"Working_well","In_use",,,,,,,,,,
